Lake.Code,Month,Day,Year,Gear,Species.Code,Number.of.individuals,TLmm,Age
TENKIL,4,22,2010,44,101,1,287,2
TENKIL,4,22,2010,44,101,1,298,2
TENKIL,4,22,2010,44,101,1,337,2
TENKIL,4,22,2010,44,101,1,275,2
TENKIL,4,22,2010,44,101,1,261,2
TENKIL,4,22,2010,44,101,1,320,2
TENKIL,4,22,2010,44,101,1,260,2
TENKIL,4,22,2010,44,101,1,289,2
TENKIL,4,22,2010,44,101,1,193,2
TENKIL,4,22,2010,44,101,1,214,2
TENKIL,4,22,2010,44,101,1,272,2
TENKIL,4,22,2010,44,101,1,312,2
TENKIL,4,22,2010,44,101,1,315,2
TENKIL,4,22,2010,44,101,1,365,3
TENKIL,4,22,2010,44,101,1,385,3
TENKIL,4,22,2010,44,101,1,367,3
TENKIL,4,22,2010,44,101,1,381,3
TENKIL,4,22,2010,44,101,1,395,3
TENKIL,4,22,2010,44,101,1,355,3
TENKIL,4,22,2010,44,101,1,383,3
TENKIL,4,22,2010,44,101,1,377,3
TENKIL,4,22,2010,44,101,1,413,3
TENKIL,4,22,2010,44,101,1,342,3
TENKIL,4,22,2010,44,101,1,395,3
TENKIL,4,22,2010,44,101,1,357,3
TENKIL,4,22,2010,44,101,1,380,3
TENKIL,4,22,2010,44,101,1,362,3
TENKIL,4,22,2010,44,101,1,398,3
TENKIL,4,22,2010,44,101,1,390,3
TENKIL,4,22,2010,44,101,1,436,4
TENKIL,4,22,2010,44,101,1,429,4
TENKIL,4,22,2010,44,101,1,388,4
TENKIL,4,22,2010,44,101,1,409,4
TENKIL,4,22,2010,44,101,1,392,4
TENKIL,4,22,2010,44,101,1,395,4
TENKIL,4,22,2010,44,101,1,440,4
TENKIL,4,22,2010,44,101,1,422,4
TENKIL,4,22,2010,44,101,1,409,4
TENKIL,4,22,2010,44,101,1,376,4
TENKIL,4,22,2010,44,101,1,437,4
TENKIL,4,22,2010,44,101,1,420,4
TENKIL,4,22,2010,44,101,1,410,4
TENKIL,4,22,2010,44,101,1,183,1
TENKIL,4,22,2010,44,101,1,422,5
TENKIL,4,22,2010,44,101,1,501,5
TENKIL,4,22,2010,44,101,1,437,5
TENKIL,4,22,2010,44,101,1,455,6
TENKIL,4,22,2010,44,101,1,530,8
TENKIL,4,23,2010,44,101,1,151,1
TENKIL,4,23,2010,44,101,1,168,1
TENKIL,4,23,2010,44,101,1,171,1
TENKIL,4,23,2010,44,101,1,155,1
TENKIL,4,23,2010,44,101,1,188,1
TENKIL,4,23,2010,44,101,1,153,1
TENKIL,4,23,2010,44,101,1,172,1
TENKIL,4,23,2010,44,101,1,320,2
TENKIL,4,23,2010,44,101,1,335,2
TENKIL,4,23,2010,44,101,1,334,2
TENKIL,4,23,2010,44,101,1,331,2
TENKIL,4,23,2010,44,101,1,321,2
TENKIL,4,23,2010,44,101,1,329,2
TENKIL,4,23,2010,44,101,1,310,2
TENKIL,4,23,2010,44,101,1,220,2
TENKIL,4,23,2010,44,101,1,295,2
TENKIL,4,23,2010,44,101,1,252,2
TENKIL,4,23,2010,44,101,1,246,2
TENKIL,4,23,2010,44,101,1,312,2
TENKIL,4,23,2010,44,101,1,280,2
TENKIL,4,23,2010,44,101,1,322,2
TENKIL,4,23,2010,44,101,1,404,3
TENKIL,4,23,2010,44,101,1,350,3
TENKIL,4,23,2010,44,101,1,368,3
TENKIL,4,23,2010,44,101,1,382,3
TENKIL,4,23,2010,44,101,1,405,3
TENKIL,4,23,2010,44,101,1,395,3
TENKIL,4,23,2010,44,101,1,405,3
TENKIL,4,23,2010,44,101,1,410,3
TENKIL,4,23,2010,44,101,1,370,3
TENKIL,4,23,2010,44,101,1,405,3
TENKIL,4,23,2010,44,101,1,375,3
TENKIL,4,23,2010,44,101,1,381,3
TENKIL,4,23,2010,44,101,1,401,3
TENKIL,4,23,2010,44,101,1,392,3
TENKIL,4,23,2010,44,101,1,393,3
TENKIL,4,23,2010,44,101,1,440,4
TENKIL,4,23,2010,44,101,1,420,4
TENKIL,4,23,2010,44,101,1,379,4
TENKIL,4,23,2010,44,101,1,421,4
TENKIL,4,23,2010,44,101,1,417,4
TENKIL,4,23,2010,44,101,1,425,4
TENKIL,4,23,2010,44,101,1,420,4
TENKIL,4,23,2010,44,101,1,407,4
TENKIL,4,23,2010,44,101,1,382,5
TENKIL,4,23,2010,44,101,1,442,5
TENKIL,4,23,2010,44,101,1,470,5
TENKIL,4,23,2010,44,101,1,462,5
TENKIL,4,23,2010,44,101,1,460,5
TENKIL,4,23,2010,44,101,1,442,5
TENKIL,4,23,2010,44,101,1,430,5
TENKIL,4,23,2010,44,101,1,440,5
TENKIL,4,23,2010,44,101,1,460,5
TENKIL,4,23,2010,44,101,1,450,5
TENKIL,4,23,2010,44,101,1,420,5
TENKIL,4,23,2010,44,101,1,440,5
TENKIL,4,23,2010,44,101,1,452,5
TENKIL,4,23,2010,44,101,1,480,6
TENKIL,4,23,2010,44,101,1,441,6
TENKIL,4,23,2010,44,101,1,480,6
TENKIL,4,23,2010,44,101,1,455,6
TENKIL,4,23,2010,44,101,1,480,6
TENKIL,4,23,2010,44,101,1,465,6
TENKIL,4,23,2010,44,101,1,448,6
TENKIL,4,23,2010,44,101,1,488,7
TENKIL,4,27,2010,44,101,1,221,1
TENKIL,4,27,2010,44,101,1,200,1
TENKIL,4,27,2010,44,101,1,177,1
TENKIL,4,27,2010,44,101,1,186,1
TENKIL,4,27,2010,44,101,1,190,1
TENKIL,4,27,2010,44,101,1,188,1
TENKIL,4,27,2010,44,101,1,187,1
TENKIL,4,27,2010,44,101,1,197,1
TENKIL,4,27,2010,44,101,1,195,1
TENKIL,4,27,2010,44,101,1,193,1
TENKIL,4,27,2010,44,101,1,192,1
TENKIL,4,27,2010,44,101,1,198,1
TENKIL,4,27,2010,44,101,1,203,2
TENKIL,4,27,2010,44,101,1,320,2
TENKIL,4,27,2010,44,101,1,317,2
TENKIL,4,27,2010,44,101,1,317,2
TENKIL,4,27,2010,44,101,1,307,2
TENKIL,4,27,2010,44,101,1,304,2
TENKIL,4,27,2010,44,101,1,304,2
TENKIL,4,27,2010,44,101,1,303,2
TENKIL,4,27,2010,44,101,1,300,2
TENKIL,4,27,2010,44,101,1,300,2
TENKIL,4,27,2010,44,101,1,290,2
TENKIL,4,27,2010,44,101,1,283,2
TENKIL,4,27,2010,44,101,1,271,2
TENKIL,4,27,2010,44,101,1,252,2
TENKIL,4,27,2010,44,101,1,248,2
TENKIL,4,27,2010,44,101,1,247,2
TENKIL,4,27,2010,44,101,1,243,2
TENKIL,4,27,2010,44,101,1,320,2
TENKIL,4,27,2010,44,101,1,335,2
TENKIL,4,27,2010,44,101,1,343,2
TENKIL,4,27,2010,44,101,1,374,2
TENKIL,4,27,2010,44,101,1,325,3
TENKIL,4,27,2010,44,101,1,330,3
TENKIL,4,27,2010,44,101,1,342,3
TENKIL,4,27,2010,44,101,1,373,3
TENKIL,4,27,2010,44,101,1,355,3
TENKIL,4,27,2010,44,101,1,360,3
TENKIL,4,27,2010,44,101,1,351,3
TENKIL,4,27,2010,44,101,1,350,3
TENKIL,4,27,2010,44,101,1,350,3
TENKIL,4,27,2010,44,101,1,377,3
TENKIL,4,27,2010,44,101,1,377,3
TENKIL,4,27,2010,44,101,1,365,3
TENKIL,4,27,2010,44,101,1,465,4
TENKIL,4,27,2010,44,101,1,471,5
TENKIL,4,27,2010,44,101,1,480,6
TENKIL,4,27,2010,44,101,1,487,6
TENKIL,4,27,2010,44,101,1,491,6
TENKIL,4,27,2010,44,101,1,524,6
TENKIL,4,27,2010,44,101,1,501,7
TENKIL,4,28,2010,44,101,1,230,2
TENKIL,4,28,2010,44,101,1,277,2
TENKIL,4,28,2010,44,101,1,276,2
TENKIL,4,28,2010,44,101,1,275,2
TENKIL,4,28,2010,44,101,1,272,2
TENKIL,4,28,2010,44,101,1,262,2
TENKIL,4,28,2010,44,101,1,262,2
TENKIL,4,28,2010,44,101,1,261,2
TENKIL,4,28,2010,44,101,1,257,2
TENKIL,4,28,2010,44,101,1,255,2
TENKIL,4,28,2010,44,101,1,250,2
TENKIL,4,28,2010,44,101,1,240,2
TENKIL,4,28,2010,44,101,1,333,2
TENKIL,4,28,2010,44,101,1,285,2
TENKIL,4,28,2010,44,101,1,348,3
TENKIL,4,28,2010,44,101,1,345,3
TENKIL,4,28,2010,44,101,1,470,5
TENKIL,4,28,2010,44,101,1,512,6
TENKIL,4,28,2010,44,101,1,482,6
TENKIL,4,28,2010,44,101,1,495,6
TENKIL,4,28,2010,44,101,1,495,7
