Lake.Code,Month,Day,Year,Gear,Species.Code,Number.of.individuals,TLmm,Age
BLACK,11,29,2011,31,106,1,272,3
BLACK,11,29,2011,31,106,1,273,3
BLACK,11,29,2011,31,106,1,266,3
BLACK,11,29,2011,31,106,1,271,3
BLACK,11,29,2011,31,106,1,262,3
BLACK,11,29,2011,31,106,1,301,3
BLACK,11,29,2011,31,106,1,280,3
BLACK,11,29,2011,31,106,1,236,3
BLACK,11,29,2011,31,106,1,233,3
BLACK,11,29,2011,31,106,1,209,3
BLACK,11,29,2011,31,106,1,217,3
BLACK,11,29,2011,31,106,1,215,3
BLACK,11,29,2011,31,106,1,193,3
BLACK,11,29,2011,31,106,1,232,3
BLACK,11,29,2011,31,106,1,227,3
BLACK,11,29,2011,31,106,1,233,4
BLACK,11,29,2011,31,106,1,253,4
BLACK,11,29,2011,31,106,1,229,4
BLACK,11,29,2011,31,106,1,230,4
BLACK,11,29,2011,31,106,1,243,4
BLACK,11,29,2011,31,106,1,240,4
BLACK,11,29,2011,31,106,1,229,4
BLACK,11,29,2011,31,106,1,227,4
BLACK,11,29,2011,31,106,1,211,4
BLACK,11,29,2011,31,106,1,209,4
BLACK,11,29,2011,31,106,1,187,4
BLACK,11,29,2011,31,106,1,211,4
BLACK,11,29,2011,31,106,1,219,4
BLACK,11,29,2011,31,106,1,227,4
BLACK,11,29,2011,31,106,1,223,4
BLACK,11,29,2011,31,106,1,265,4
BLACK,11,29,2011,31,106,1,277,4
BLACK,11,29,2011,31,106,1,298,4
BLACK,11,29,2011,31,106,1,296,4
BLACK,11,29,2011,31,106,1,207,4
BLACK,11,29,2011,31,106,1,346,4
BLACK,11,29,2011,31,106,1,292,4
BLACK,11,29,2011,31,106,1,297,4
BLACK,11,29,2011,31,106,1,255,4
BLACK,11,29,2011,31,106,1,327,4
BLACK,11,29,2011,31,106,1,277,4
BLACK,11,29,2011,31,106,1,286,4
BLACK,11,29,2011,31,106,1,260,4
BLACK,11,29,2011,31,106,1,255,4
BLACK,11,29,2011,31,106,1,291,4
BLACK,11,29,2011,31,106,1,260,4
BLACK,11,29,2011,31,106,1,296,4
BLACK,11,29,2011,31,106,1,303,4
BLACK,11,29,2011,31,106,1,269,4
BLACK,11,29,2011,31,106,1,300,4
BLACK,11,29,2011,31,106,1,295,4
BLACK,11,29,2011,31,106,1,306,4
BLACK,11,29,2011,31,106,1,271,4
BLACK,11,29,2011,31,106,1,310,4
BLACK,11,29,2011,31,106,1,221,4
BLACK,11,29,2011,31,106,1,238,4
BLACK,11,29,2011,31,106,1,231,4
BLACK,11,29,2011,31,106,1,238,4
BLACK,11,29,2011,31,106,1,265,5
BLACK,11,29,2011,31,106,1,229,5
BLACK,11,29,2011,31,106,1,195,5
BLACK,11,29,2011,31,106,1,227,5
BLACK,11,29,2011,31,106,1,223,5
BLACK,11,29,2011,31,106,1,327,5
BLACK,11,29,2011,31,106,1,330,5
BLACK,11,29,2011,31,106,1,302,5
BLACK,11,29,2011,31,106,1,291,6
BLACK,11,29,2011,31,106,1,285,6
BLACK,11,29,2011,31,106,1,315,6
BLACK,11,29,2011,31,106,1,262,7
BLACK,11,29,2011,31,106,1,287,7
BLACK,11,29,2011,31,106,1,347,7
BLACK,11,29,2011,31,106,1,318,10
